left,center,right
0.26,0.42,0.32
0.28,0.5,0.22
0.28,0.32,0.4
0.32,0.3,0.38
0.3,0.4,0.3
0.34,0.26,0.4
0.4,0.3,0.3
0.32,0.26,0.42
0.36,0.32,0.32
0.44,0.3,0.26
0.5,0.32,0.18
0.34,0.26,0.4
0.44,0.32,0.24
0.34,0.26,0.4
0.22,0.44,0.34
0.46,0.24,0.3
0.32,0.32,0.36
0.36,0.32,0.32
0.32,0.4,0.28
0.42,0.24,0.34
0.32,0.36,0.32
0.3,0.38,0.32
0.34,0.3,0.36
0.38,0.28,0.34
0.36,0.24,0.4
0.36,0.26,0.38
0.4,0.26,0.34
0.5,0.34,0.16
0.44,0.18,0.38
0.5,0.16,0.34
0.44,0.2,0.36
0.46,0.24,0.3
0.38,0.42,0.2
0.44,0.24,0.32
0.26,0.3,0.44
0.44,0.38,0.18
0.48,0.2,0.32
0.4,0.22,0.38
0.54,0.3,0.16
0.42,0.36,0.22
0.44,0.22,0.34
0.3,0.42,0.28
0.38,0.28,0.34
0.4,0.44,0.16
0.42,0.28,0.3
0.36,0.38,0.26
0.4,0.24,0.36
0.52,0.14,0.34
0.4,0.26,0.34
0.46,0.24,0.3
0.42,0.32,0.26
0.46,0.24,0.3
0.42,0.24,0.34
0.48,0.24,0.28
0.4,0.2,0.4
0.46,0.4,0.14
0.64,0.18,0.18
0.32,0.22,0.46
0.36,0.38,0.26
0.4,0.3,0.3
0.48,0.24,0.28
0.54,0.16,0.3
0.36,0.4,0.24
0.4,0.32,0.28
0.46,0.3,0.24
0.5,0.3,0.2
0.56,0.22,0.22
0.5,0.22,0.28
0.58,0.2,0.22
0.42,0.28,0.3
0.3,0.36,0.34
0.4,0.3,0.3
0.52,0.22,0.26
0.5,0.18,0.32
0.44,0.38,0.18
0.54,0.12,0.34
0.58,0.3,0.12
0.58,0.22,0.2
0.56,0.14,0.3
0.48,0.2,0.32
0.44,0.28,0.28
0.38,0.34,0.28
0.54,0.22,0.24
0.54,0.24,0.22
0.52,0.18,0.3
0.54,0.24,0.22
0.5,0.22,0.28
0.6,0.24,0.16
0.48,0.28,0.24
0.44,0.26,0.3
0.56,0.24,0.2
0.48,0.22,0.3
0.54,0.22,0.24
0.32,0.42,0.26
0.6,0.14,0.26
0.58,0.22,0.2
0.4,0.26,0.34
0.4,0.3,0.3
0.5,0.26,0.24
0.66,0.18,0.16
