,0.0,2e-05
0.215,0.0,1.0
0.222,0.0,1.0
0.229,0.0,1.0
0.236,1.0,1.0
0.243,0.0,1.0
0.25,1.0,1.0
0.257,1.0,1.0
0.264,1.0,1.0
0.271,1.0,1.0
0.278,1.0,1.0
0.28500000000000003,1.0,1.0
0.29200000000000004,1.0,1.0
0.29900000000000004,1.0,1.0
0.306,0.0,1.0
0.313,0.0,1.0
0.32,0.0,1.0
