,0.0,1.6666666666666664e-05,3.333333333333333e-05,4.9999999999999996e-05,6.666666666666666e-05,8.333333333333332e-05,9.999999999999999e-05,0.00011666666666666665,0.0001333333333333333,0.00015
0.192,0.28,0.56,0.64,0.68,0.84,0.96,0.96,1.0,1.0,1.0
0.20020000000000002,0.44,0.88,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.2084,0.6,0.6,0.96,0.92,0.92,0.92,0.96,1.0,1.0,1.0
0.21660000000000001,0.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.2248,0.36,0.76,0.64,0.6,0.92,0.88,0.88,0.92,0.96,1.0
0.233,0.52,0.72,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.24120000000000003,0.44,0.76,0.84,0.88,1.0,1.0,1.0,1.0,1.0,1.0
0.2494,0.52,0.48,0.64,0.72,0.76,0.8,0.92,0.84,0.88,1.0
0.2576,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.26580000000000004,0.32,0.72,0.68,0.88,0.92,1.0,1.0,1.0,1.0,1.0
0.274,0.64,0.52,0.56,0.6,0.8,0.92,0.92,0.84,1.0,1.0
0.2822,0.36,0.76,0.88,0.92,1.0,1.0,1.0,1.0,1.0,1.0
0.2904,0.52,0.72,0.92,0.96,1.0,0.96,1.0,1.0,1.0,1.0
0.29860000000000003,0.52,0.56,0.76,0.96,0.92,1.0,1.0,1.0,1.0,1.0
0.3068,0.56,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.315,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
