,Distance to closest target over sum of distances,Final target,Time to target,Movement starts,First decision time,Allocentric or egocentric,Attraction,Base attraction,sigma
62,0.0001043567689626674,-1,0,74,875,0,"[0.45, 0.46]",0.2,0.4757575757575757
63,6.501125873064255e-05,-1,0,64,3273,0,"[0.45, 0.46]",0.2,0.4818181818181818
64,9.413102615769874e-05,-1,0,73,3465,0,"[0.45, 0.46]",0.2,0.4878787878787879
65,3.707746015697981e-05,-1,0,63,2134,0,"[0.45, 0.46]",0.2,0.4939393939393939
66,0.00011515039262913697,-1,0,66,3269,0,"[0.45, 0.46]",0.2,0.5
67,0.0003855667628719211,-1,0,62,3554,0,"[0.45, 0.46]",0.2,0.5060606060606061
68,3.701472310296673e-05,-1,0,62,4859,0,"[0.45, 0.46]",0.2,0.5121212121212121
69,0.00010253884539306031,-1,0,72,3212,0,"[0.45, 0.46]",0.2,0.5181818181818182
70,5.512202109991949e-05,-1,0,69,4581,0,"[0.45, 0.46]",0.2,0.5242424242424243
71,0.4852239823235812,-1,0,63,4850,0,"[0.45, 0.46]",0.2,0.5303030303030303
72,6.231767545105309e-05,-1,0,60,3111,0,"[0.45, 0.46]",0.2,0.5363636363636364
73,0.0001572435782380636,-1,0,62,875,0,"[0.45, 0.46]",0.2,0.5424242424242425
74,7.461475323397422e-05,-1,0,71,3293,0,"[0.45, 0.46]",0.2,0.5484848484848485
75,7.650616790603099e-05,-1,0,64,2585,0,"[0.45, 0.46]",0.2,0.5545454545454546
76,0.0003399755792785197,-1,0,60,2713,0,"[0.45, 0.46]",0.2,0.5606060606060607
77,0.4832069304758256,-1,0,60,4276,0,"[0.45, 0.46]",0.2,0.5666666666666667
78,0.00013141192063813965,-1,0,58,1161,0,"[0.45, 0.46]",0.2,0.5727272727272728
79,0.00011967579801128233,-1,0,61,2296,0,"[0.45, 0.46]",0.2,0.5787878787878787
80,0.0001274851640026317,-1,0,71,392,0,"[0.45, 0.46]",0.2,0.5848484848484848
81,0.0003668444419644264,-1,0,58,391,0,"[0.45, 0.46]",0.2,0.5909090909090909
82,9.620374388207177e-05,-1,0,58,1967,0,"[0.45, 0.46]",0.2,0.5969696969696969
83,0.0003526138626991448,-1,0,62,2569,0,"[0.45, 0.46]",0.2,0.603030303030303
84,0.0005274173034830496,-1,0,58,1396,0,"[0.45, 0.46]",0.2,0.609090909090909
85,0.00011103415557176023,-1,0,57,1318,0,"[0.45, 0.46]",0.2,0.6151515151515151
86,0.00023342521677828493,-1,0,58,3220,0,"[0.45, 0.46]",0.2,0.6212121212121212
87,0.40392045461428056,-1,0,57,3668,0,"[0.45, 0.46]",0.2,0.6272727272727272
88,7.717004743089195e-05,-1,0,89,815,0,"[0.45, 0.46]",0.2,0.6333333333333333
89,0.0005107047865645133,-1,0,57,724,0,"[0.45, 0.46]",0.2,0.6393939393939394
90,0.0001069137708641725,-1,0,59,769,0,"[0.45, 0.46]",0.2,0.6454545454545454
91,0.00043500142119132776,-1,0,57,2778,0,"[0.45, 0.46]",0.2,0.6515151515151515
92,0.0009643278651649643,-1,0,57,2921,0,"[0.45, 0.46]",0.2,0.6575757575757576
93,0.0005528242865125219,-1,0,56,3848,0,"[0.45, 0.46]",0.2,0.6636363636363636
94,0.0005802185469154787,-1,0,58,1271,0,"[0.45, 0.46]",0.2,0.6696969696969697
95,0.00020397171660861533,-1,0,57,3665,0,"[0.45, 0.46]",0.2,0.6757575757575758
96,8.191189281604226e-05,-1,0,55,3459,0,"[0.45, 0.46]",0.2,0.6818181818181818
97,0.0003230384059823842,-1,0,55,799,0,"[0.45, 0.46]",0.2,0.6878787878787879
98,0.0005945377033551191,-1,0,55,3219,0,"[0.45, 0.46]",0.2,0.693939393939394
99,0.0003220218594758163,-1,0,60,2398,0,"[0.45, 0.46]",0.2,0.7
