left,center,right
0.22,0.46,0.32
0.26,0.48,0.26
0.3,0.42,0.28
0.26,0.46,0.28
0.34,0.38,0.28
0.3,0.44,0.26
0.28,0.46,0.26
0.34,0.42,0.24
0.28,0.44,0.28
0.24,0.46,0.3
0.3,0.44,0.26
0.26,0.48,0.26
0.32,0.36,0.32
0.52,0.26,0.22
0.26,0.48,0.26
0.34,0.36,0.3
0.32,0.38,0.3
0.34,0.38,0.28
0.38,0.3,0.32
0.36,0.34,0.3
0.28,0.44,0.28
0.38,0.42,0.2
0.44,0.32,0.24
0.36,0.32,0.32
0.52,0.26,0.22
0.26,0.4,0.34
0.34,0.34,0.32
0.32,0.36,0.32
0.42,0.34,0.24
0.52,0.18,0.3
0.4,0.34,0.26
0.28,0.38,0.34
0.44,0.32,0.24
0.38,0.38,0.24
0.38,0.18,0.44
0.38,0.38,0.24
0.28,0.4,0.32
0.44,0.32,0.24
0.34,0.28,0.38
0.52,0.28,0.2
0.46,0.26,0.28
0.42,0.24,0.34
0.44,0.32,0.24
0.4,0.32,0.28
0.36,0.32,0.32
0.46,0.3,0.24
0.38,0.22,0.4
0.46,0.22,0.32
0.56,0.28,0.16
0.32,0.4,0.28
0.5,0.28,0.22
0.66,0.14,0.2
0.54,0.22,0.24
0.62,0.2,0.18
0.62,0.1,0.28
0.52,0.16,0.32
0.6,0.12,0.28
0.64,0.12,0.24
0.64,0.06,0.3
0.84,0.04,0.12
0.74,0.02,0.24
0.74,0.02,0.24
0.78,0.04,0.18
0.74,0.0,0.26
0.84,0.0,0.16
0.84,0.0,0.16
0.8,0.0,0.2
0.74,0.0,0.26
0.88,0.0,0.12
0.7,0.0,0.3
0.54,0.0,0.46
0.72,0.0,0.28
0.82,0.0,0.18
0.62,0.0,0.38
0.8,0.0,0.2
0.72,0.0,0.28
0.84,0.0,0.16
0.74,0.0,0.26
0.78,0.0,0.22
0.8,0.0,0.2
0.74,0.0,0.26
0.7,0.0,0.3
0.68,0.0,0.32
0.76,0.0,0.24
0.82,0.0,0.18
0.68,0.0,0.32
0.64,0.0,0.36
0.86,0.0,0.14
0.82,0.0,0.18
0.74,0.0,0.26
0.78,0.0,0.22
0.78,0.0,0.22
0.68,0.0,0.32
0.72,0.0,0.28
0.9,0.0,0.1
0.78,0.0,0.14
0.74,0.0,0.18
0.88,0.0,0.1
0.82,0.0,0.04
0.9,0.0,0.0
