left,center,right
0.32,0.32,0.36
0.36,0.36,0.28
0.26,0.32,0.42
0.42,0.22,0.36
0.42,0.26,0.32
0.16,0.48,0.36
0.32,0.28,0.4
0.38,0.28,0.34
0.38,0.22,0.4
0.24,0.4,0.36
0.34,0.26,0.4
0.34,0.34,0.32
0.34,0.34,0.32
0.4,0.26,0.34
0.32,0.22,0.46
0.36,0.38,0.26
0.4,0.36,0.24
0.28,0.46,0.26
0.32,0.28,0.4
0.24,0.28,0.48
0.38,0.26,0.36
0.36,0.2,0.44
0.46,0.3,0.24
0.42,0.28,0.3
0.28,0.38,0.34
0.32,0.32,0.36
0.42,0.32,0.26
0.34,0.38,0.28
0.44,0.26,0.3
0.4,0.16,0.44
0.42,0.3,0.28
0.36,0.36,0.28
0.34,0.34,0.32
0.48,0.22,0.3
0.5,0.28,0.22
0.56,0.26,0.18
0.44,0.32,0.24
0.5,0.16,0.34
0.32,0.36,0.32
0.34,0.3,0.36
0.46,0.24,0.3
0.34,0.38,0.28
0.34,0.24,0.42
0.5,0.28,0.22
0.54,0.2,0.26
0.3,0.38,0.32
0.4,0.28,0.32
0.46,0.28,0.26
0.52,0.22,0.26
0.48,0.36,0.16
0.52,0.2,0.28
0.34,0.36,0.3
0.46,0.16,0.38
0.56,0.2,0.24
0.48,0.32,0.2
0.48,0.24,0.28
0.6,0.18,0.22
0.6,0.18,0.22
0.48,0.22,0.3
0.58,0.26,0.16
0.52,0.26,0.22
0.54,0.28,0.18
0.42,0.24,0.34
0.44,0.2,0.36
0.54,0.2,0.26
0.5,0.28,0.22
0.58,0.16,0.26
0.46,0.28,0.26
0.56,0.26,0.18
0.54,0.32,0.14
0.42,0.12,0.46
0.66,0.18,0.16
0.68,0.16,0.16
0.62,0.24,0.14
0.56,0.2,0.24
0.52,0.26,0.22
0.54,0.22,0.24
0.56,0.26,0.18
0.56,0.24,0.2
0.64,0.18,0.18
0.6,0.16,0.24
0.64,0.26,0.1
0.58,0.24,0.18
0.56,0.16,0.28
0.66,0.14,0.2
0.72,0.08,0.2
0.62,0.18,0.2
0.6,0.16,0.24
0.52,0.24,0.24
0.72,0.12,0.16
0.56,0.3,0.14
0.7,0.14,0.16
0.72,0.08,0.2
0.68,0.08,0.24
0.7,0.14,0.16
0.8,0.14,0.06
0.84,0.04,0.12
0.92,0.02,0.06
0.9,0.04,0.06
0.88,0.02,0.1
