left,center,right
0.44,0.18,0.38
0.4,0.32,0.28
0.3,0.32,0.38
0.32,0.34,0.34
0.32,0.34,0.34
0.46,0.16,0.38
0.32,0.2,0.48
0.48,0.3,0.22
0.4,0.22,0.38
0.48,0.2,0.32
0.4,0.26,0.34
0.54,0.12,0.34
0.34,0.22,0.44
0.5,0.12,0.38
0.44,0.24,0.32
0.4,0.2,0.4
0.38,0.22,0.4
0.54,0.18,0.28
0.42,0.2,0.38
0.34,0.34,0.32
0.52,0.12,0.36
0.4,0.28,0.32
0.5,0.28,0.22
0.38,0.24,0.38
0.36,0.18,0.46
0.5,0.08,0.42
0.46,0.16,0.38
0.46,0.22,0.32
0.42,0.16,0.42
0.48,0.22,0.3
0.5,0.24,0.26
0.38,0.32,0.3
0.56,0.18,0.26
0.58,0.2,0.22
0.48,0.12,0.4
0.44,0.18,0.36
0.58,0.22,0.18
0.48,0.14,0.34
0.48,0.14,0.36
0.6,0.06,0.24
0.62,0.08,0.24
0.46,0.1,0.26
0.54,0.04,0.26
0.64,0.1,0.18
0.5,0.12,0.22
0.56,0.04,0.26
0.58,0.04,0.02
0.64,0.0,0.0
0.7,0.08,0.0
0.64,0.1,0.0
0.78,0.0,0.0
0.66,0.02,0.0
0.82,0.06,0.0
0.82,0.02,0.0
0.74,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
0.9,0.0,0.0
0.9,0.0,0.0
0.9,0.0,0.0
0.9,0.0,0.0
0.9,0.0,0.0
0.98,0.0,0.0
0.96,0.0,0.0
0.98,0.0,0.0
0.98,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
