left,center,right
0.2,0.62,0.18
0.26,0.56,0.18
0.24,0.6,0.16
0.26,0.56,0.18
0.28,0.6,0.12
0.28,0.44,0.28
0.28,0.52,0.2
0.3,0.54,0.16
0.32,0.56,0.12
0.2,0.6,0.2
0.44,0.4,0.16
0.32,0.54,0.14
0.24,0.58,0.18
0.4,0.44,0.16
0.3,0.5,0.2
0.44,0.32,0.24
0.38,0.46,0.16
0.46,0.38,0.16
0.44,0.38,0.18
0.42,0.46,0.12
0.44,0.42,0.14
0.4,0.44,0.16
0.52,0.4,0.04
0.56,0.3,0.02
0.5,0.38,0.0
0.58,0.32,0.0
0.78,0.16,0.0
0.7,0.2,0.0
0.56,0.38,0.0
0.62,0.28,0.0
0.68,0.2,0.0
0.78,0.14,0.0
0.82,0.1,0.0
0.84,0.14,0.0
0.72,0.2,0.0
0.9,0.1,0.0
0.76,0.14,0.0
0.9,0.1,0.0
1.0,0.0,0.0
0.96,0.02,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
