,0.0,2.0202020202020202e-07,4.0404040404040405e-07,6.060606060606061e-07,8.080808080808081e-07,1.01010101010101e-06,1.2121212121212122e-06,1.414141414141414e-06,1.6161616161616162e-06,1.8181818181818183e-06,2.02020202020202e-06,2.222222222222222e-06,2.4242424242424244e-06,2.6262626262626263e-06,2.828282828282828e-06,3.0303030303030305e-06,3.2323232323232324e-06,3.4343434343434343e-06,3.6363636363636366e-06,3.8383838383838385e-06,4.04040404040404e-06,4.242424242424242e-06,4.444444444444444e-06,4.646464646464647e-06,4.848484848484849e-06,5.050505050505051e-06,5.2525252525252526e-06,5.4545454545454545e-06,5.656565656565656e-06,5.858585858585859e-06,6.060606060606061e-06,6.262626262626263e-06,6.464646464646465e-06,6.666666666666667e-06,6.8686868686868685e-06,7.0707070707070704e-06,7.272727272727273e-06,7.474747474747475e-06,7.676767676767677e-06,7.87878787878788e-06,8.08080808080808e-06,8.282828282828283e-06,8.484848484848485e-06,8.686868686868687e-06,8.888888888888888e-06,9.090909090909091e-06,9.292929292929294e-06,9.494949494949495e-06,9.696969696969698e-06,9.898989898989899e-06,1.0101010101010101e-05,1.0303030303030302e-05,1.0505050505050505e-05,1.0707070707070708e-05,1.0909090909090909e-05,1.1111111111111112e-05,1.1313131313131313e-05,1.1515151515151515e-05,1.1717171717171718e-05,1.191919191919192e-05,1.2121212121212122e-05,1.2323232323232323e-05,1.2525252525252526e-05,1.2727272727272727e-05,1.292929292929293e-05,1.3131313131313132e-05,1.3333333333333333e-05,1.3535353535353536e-05,1.3737373737373737e-05,1.393939393939394e-05,1.4141414141414141e-05,1.4343434343434344e-05,1.4545454545454546e-05,1.4747474747474747e-05,1.494949494949495e-05,1.5151515151515151e-05,1.5353535353535354e-05,1.5555555555555555e-05,1.575757575757576e-05,1.595959595959596e-05,1.616161616161616e-05,1.6363636363636363e-05,1.6565656565656567e-05,1.6767676767676768e-05,1.696969696969697e-05,1.7171717171717173e-05,1.7373737373737375e-05,1.7575757575757576e-05,1.7777777777777777e-05,1.797979797979798e-05,1.8181818181818182e-05,1.8383838383838383e-05,1.8585858585858588e-05,1.878787878787879e-05,1.898989898989899e-05,1.919191919191919e-05,1.9393939393939395e-05,1.9595959595959596e-05,1.9797979797979797e-05,2e-05
0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.2,0.3,0.5666666666666667,0.9,0.8666666666666667,0.9333333333333333,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.222,0.5333333333333333,0.6666666666666666,0.6333333333333333,0.7,0.7666666666666667,0.7,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.229,0.5333333333333333,0.6333333333333333,0.5333333333333333,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.8,0.7,0.8,0.8333333333333334,0.9,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9,0.9,1.0,0.9333333333333333,1.0,0.9666666666666667,1.0,0.9666666666666667,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.236,0.43333333333333335,0.36666666666666664,0.5666666666666667,0.6333333333333333,0.5333333333333333,0.7666666666666667,0.6333333333333333,0.7666666666666667,0.8333333333333334,0.6666666666666666,0.9,0.9,0.8333333333333334,0.8,0.9,0.9,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9,0.9333333333333333,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9666666666666667,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.243,0.5,0.43333333333333335,0.4,0.6,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.6333333333333333,0.8666666666666667,0.7333333333333333,0.7,0.8,0.8333333333333334,0.7333333333333333,0.8,0.9333333333333333,0.9,0.9666666666666667,0.8333333333333334,0.8666666666666667,0.9,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,0.4666666666666667,0.6,0.5333333333333333,0.6333333333333333,0.5333333333333333,0.6666666666666666,0.7666666666666667,0.7,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.6666666666666666,0.8,0.7333333333333333,0.7333333333333333,0.9,0.8,0.9,0.9,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8333333333333334,1.0,0.9333333333333333,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.257,0.6,0.5666666666666667,0.5666666666666667,0.6666666666666666,0.7,0.6333333333333333,0.5666666666666667,0.7,0.6333333333333333,0.5666666666666667,0.7333333333333333,0.6333333333333333,0.5666666666666667,0.9,0.8333333333333334,0.8333333333333334,0.9,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.9,0.9,0.8333333333333334,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,1.0,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.264,0.7,0.5,0.4666666666666667,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5333333333333333,0.6,0.7,0.5,0.6,0.7333333333333333,0.6666666666666666,0.7,0.8,0.7666666666666667,0.9,0.8,0.8333333333333334,0.9333333333333333,0.8666666666666667,0.9,0.8333333333333334,0.7666666666666667,0.8,0.8666666666666667,0.8666666666666667,1.0,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,1.0,0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.271,0.3,0.4666666666666667,0.6,0.5666666666666667,0.4666666666666667,0.6,0.6666666666666666,0.5,0.7333333333333333,0.7,0.7333333333333333,0.7,0.6333333333333333,0.7666666666666667,0.6333333333333333,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.7333333333333333,0.8666666666666667,0.9,0.8666666666666667,0.7666666666666667,0.8666666666666667,0.8333333333333334,0.9,0.9,1.0,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,1.0,0.8666666666666667,0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,0.9,1.0,1.0,1.0,0.9666666666666667,1.0,0.9666666666666667,1.0,0.9666666666666667,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
