,0,x diff,y diff
20.0,50.0,0.0,0.0
20.102500350655177,49.98100063090402,0.10250035065517693,-0.018999369095979546
20.22706856771294,49.97666010479451,0.12456821705776377,-0.004340526109508858
20.351550667534045,49.97599308078638,0.1244820998211047,-0.0006670240081305678
20.476098942788052,49.97588520497729,0.12454827525400702,-0.00010787580909266126
20.600687193341468,49.97589523307659,0.12458825055341549,1.002809930383819e-05
20.72531767062084,49.975928999219356,0.12463047727937138,3.3766142763624885e-05
20.84999023421081,49.9759667278332,0.12467256358997147,3.772861384732096e-05
20.97470429456815,49.97600432551009,0.12471406035733779,3.759767688649163e-05
21.099459199167644,49.97604096994871,0.12475490459949512,3.6644438623056885e-05
21.224254282372122,49.97607651611099,0.12479508320447863,3.554616228029772e-05
21.34908887337272,49.97611095872646,0.12483459100059946,3.4442615465479776e-05
21.473962298846036,49.97614432179958,0.12487342547331437,3.3363073121961406e-05
21.59887388487999,49.97617663603156,0.12491158603395291,3.231423198002403e-05
21.72382295882021,49.976207934190704,0.12494907394022192,3.12981591434891e-05
21.848808851142415,49.97623825011941,0.12498589232220425,3.0315928704283124e-05
21.9738308973665,49.97626761847545,0.12502204622408541,2.9368356038617094e-05
22.09888844001149,49.97629607462398,0.12505754264498847,2.8456148534417025e-05
22.22398083058716,49.97632365456405,0.12509239057567,2.757994006685749e-05
22.34910743161736,49.97635039486659,0.12512660103019968,2.674030254468107e-05
22.474267618689762,49.976376332619644,0.12516018707240306,2.5937753051152868e-05
22.59946078252666,49.976401505379755,0.12519316383689727,2.517276011104741e-05
22.724686331071307,49.9764259511296,0.1252255485446483,2.444574984394876e-05
22.849943691584315,49.97644970824164,0.1252573605130074,2.3757112039390904e-05
22.97523231274449,49.976472815447885,0.12528862116017692,2.310720624620899e-05
23.100551666748686,49.97649531181561,0.12531935400419414,2.2496367726887456e-05
23.22590125140505,49.976517236729,0.12534958465636237,2.1924913390591882e-05
23.351280592214344,49.97653862987656,0.12537934080929602,2.1393147555670566e-05
23.47668924443386,49.97655953124419,0.12540865221951591,2.0901367633996415e-05
23.60212679511859,49.976579981113794,0.12543755068472962,2.044986960214601e-05
23.727592865134376,49.97660002006707,0.12546607001578636,2.0038953273626703e-05
23.853087111137707,49.97661968899447,0.12549424600333126,1.9668927400573466e-05
23.97860922751685,49.97663902910894,0.12552211637914112,1.934011446991235e-05
24.104158948288923,49.976658081964175,0.12554972077207438,1.9052855236623145e-05
24.22973604894747,49.9766768894771,0.12557710065854621,1.8807512923046943e-05
24.355340348254806,49.97669549395418,0.12560429930733719,1.8604477084238624e-05
24.48097170997337,49.97671393812125,0.1256313617185647,1.844416706830998e-05
24.60663004452987,49.97673226515626,0.12565833455649766,1.832703500781463e-05
24.732315310605767,49.9767505187246,0.12568526607589803,1.825356834217473e-05
24.858027516647265,49.976768743016436,0.12571220604149858,1.8224291835622353e-05
24.98376672228744,49.97678698278539,0.12573920564017627,1.823976895565238e-05
25.10953303967277,49.976805283388,0.1257663173853274,1.830060261198696e-05
25.23532663468572,49.97682369082321,0.12579359501295073,1.8407435206313494e-05
25.361147728054608,49.97684225177112,0.12582109336888792,1.8560947907531045e-05
25.48699659634137,49.97686101363018,0.1258488682867629,1.876185906013461e-05
25.612873572797405,49.97688002455186,0.12587697645603413,1.9010921683104698e-05
25.738779048077248,49.976899333471856,0.12590547527984342,1.9308919995353335e-05
25.864713470799465,49.9769189901367,0.12593442272221722,1.965666484693429e-05
25.990677347943834,49.97693904512471,0.1259638771443683,2.0054988006279473e-05
26.116671245073896,49.97695954985991,0.12599389713006204,2.0504735203985547e-05
26.242695786373883,49.976980556617754,0.1260245412999872,2.100675784078021e-05
26.368751654489305,49.97700211852108,0.12605586811542224,2.1561903324140985e-05
26.49483959016091,49.9770242895249,0.12608793567160603,2.2171003820403712e-05
26.620960391642388,49.97704712438843,0.12612080148147697,2.283486352894215e-05
26.747114913893057,49.97707067863263,0.12615452225066903,2.355424420130703e-05
26.873304067537962,49.977095008481584,0.1261891536449049,2.4329848955062516e-05
26.99952881758914,49.97712017078588,0.12622475005117906,2.5162304297055016e-05
27.12579018192345,49.97714622292607,0.126261364334308,2.605214019268942e-05
27.252089229514155,49.97717322269439,0.12629904759070598,2.6999768316215977e-05
27.378427078415513,49.977201228152644,0.12633784890135757,2.800545825465406e-05
27.50480489350171,49.977230297464466,0.1263778150861974,2.9069311821672272e-05
27.631223883963823,49.977260488699855,0.12641899046211336,3.0191235389054327e-05
27.757685300570753,49.977291859610155,0.12646141660692933,3.137091029969952e-05
27.88419043270245,49.97732446737167,0.12650513213169745,3.260776151847722e-05
28.01074060516605,49.97735836829623,0.1265501724635989,3.390092455646254e-05
28.137337174807666,49.97739361750715,0.1265965696416167,3.524921091724309e-05
28.26398152693466,49.97743026857947,0.12664435212699487,3.6651072321092215e-05
28.39067507156501,49.97746837314344,0.1266935446303492,3.810456396990958e-05
28.51741923952191,49.97750798045078,0.12674416795690036,3.96073073432035e-05
28.644215478393118,49.977549136903825,0.12679623887120783,4.1156453043811325e-05
28.77106524837535,49.977591885548016,0.12684976998223263,4.274864419073765e-05
28.897970018024825,49.97763626552932,0.1269047696494745,4.437998130413234e-05
29.024931259935165,49.977682311518684,0.1269612419103403,4.6045989364529305e-05
29.151950446363944,49.97773005310688,0.12701918642877885,4.7741588197425244e-05
29.27902904482871,49.977779514174124,0.12707859846476666,4.946106724190713e-05
29.406168513692684,49.97783071224014,0.1271394688639731,5.119806601783239e-05
29.53337029775938,49.97788365780189,0.12720178406669547,5.294556174817444e-05
29.66063582389427,49.977938353667454,0.12726552613489162,5.46958655647245e-05
29.78796649669027,49.977994794296364,0.12733067279599908,5.6440628910081614e-05
29.915363694192344,49.97805296515816,0.12739719750207357,5.817086179860098e-05
30.042828763695038,49.978112842122705,0.1274650695026942,5.98769645421271e-05
30.170363017625114,49.97817439089701,0.1275342539300759,6.15487743047538e-05
30.297967729519915,49.978237566525046,0.12760471189480072,6.31756280355944e-05
30.425644130110587,49.97830231296771,0.12767640059067276,6.474644266774021e-05
30.553393403517845,49.97836856278108,0.1277492734072574,6.624981336500468e-05
30.681216683566667,49.978436236911016,0.1278232800488226,6.76741299372452e-05
30.809115050225238,49.978505244622134,0.12789836665857024,6.900771111872928e-05
30.937089526172404,49.97857548357766,0.12797447594716616,7.02389555229388e-05
31.065141073497298,49.97864684008515,0.128051547324894,7.135650749034994e-05
31.19327059053421,49.97871918952019,0.12812951703691056,7.234943504386138e-05
31.32147890883555,49.978792396936626,0.12820831830134338,7.320741643468409e-05
31.449766790285825,49.97886631786753,0.12828788145027303,7.392093090174967e-05
31.57813492435966,49.97894079931605,0.12836813407383474,7.448144852162386e-05
31.70658392552768,49.97901568092955,0.12844900116802194,7.488161350011069e-05
31.835114330814662,49.979090796344316,0.12853040528698045,7.511541476645789e-05
31.96372659751558,49.97916597468217,0.12861226670091952,7.517833785186667e-05
32.09242110107648,49.97924104217406,0.12869450356090084,7.506749189190032e-05
32.22119813314862,49.97931582388055,0.12877703207213642,7.478170648766991e-05
32.35005789982619,49.97939014547435,0.12885976667757149,7.432159380016401e-05
32.479000520079815,49.979463835046765,0.1289426202536248,7.368957241737917e-05
32.6080260244001,49.97953672489786,0.12902550432028193,7.288985109710211e-05
32.7371343536678,49.97960865326991,0.12910832926770155,7.192837205138858e-05
32.86632535826936,49.97967946598482,0.12919100460155875,7.081271490960717e-05
32.995598797478685,49.97974901794944,0.129273439209328,6.955196461433388e-05
33.124954339128486,49.97981717449692,0.1293555416498009,6.815654748493216e-05
33.25439155959617,49.97988381253829,0.12943722046768613,6.663804136763929e-05
33.383909944131474,49.97994882150486,0.1295183845353023,6.500896657257726e-05
33.51350888755429,49.98001210406966,0.1295989434228133,6.3282564795486e-05
33.64318769535254,49.980073576643186,0.1296788077982498,6.147257352751012e-05
33.77294558521068,49.98013316964633,0.12975788985814063,5.959300314373195e-05
33.902781688999674,49.98019082756955,0.12983610378899613,5.765792322165453e-05
34.032695055258976,49.98024650883335,0.12991336625930217,5.568126380239846e-05
34.16268465220011,49.98030018546956,0.12998959694113665,5.36766362060348e-05
34.29274937125966,49.98035184264643,0.13006471905954697,5.1657176868502575e-05
34.422888031226904,49.980401478062575,0.13013865996724405,4.963541614699807e-05
34.553099382967936,49.98044910123592,0.13021135174103193,4.7623173344391034e-05
34.683382114763724,49.98049473271356,0.13028273179578775,4.563147764002906e-05
34.813734858274174,49.98053840322757,0.1303527435104499,4.367051401032995e-05
34.94415619513423,49.98058015282001,0.13042133686005286,4.174959244096499e-05
35.074644664180695,49.98062002995818,0.13048846904646894,3.987713817110716e-05
35.20519876930074,49.98065809065856,0.13055410512004784,3.806070037626341e-05
35.335816987884364,49.980694397635276,0.13061821858362066,3.630697671752614e-05
35.466497779854095,49.98072901948604,0.1306807919697306,3.462185076585911e-05
35.597239597235735,49.980762029926,0.13074181738164015,3.301043995662667e-05
35.72804089422451,49.98079350707737,0.1308012969887784,3.147715137430396e-05
35.85890013769165,49.980823532820686,0.1308592434671354,3.002574331389951e-05
35.9898158180674,49.980852192211195,0.1309156803757503,2.8659390508778415e-05
36.12078646052824,49.98087957296262,0.1309706424608379,2.7380751426164807e-05
36.25181063640835,49.98090576499873,0.13102417588011406,2.6192036109762284e-05
36.38288697474895,49.98093086007207,0.1310763383405984,2.5095073340253293e-05
36.514014173893365,49.980954951448176,0.13112719914441584,2.4091376104706796e-05
36.645191013031344,49.98097813365267,0.13117683913797862,2.3182204493821246e-05
36.77641636359254,49.98100050227794,0.1312253505611949,2.236862526672212e-05
36.90768920038645,49.9810221538454,0.13127283679391155,2.1651567465141852e-05
37.03900861238445,49.981043185718875,0.13131941199799968,2.1031873473020823e-05
37.170373813038104,49.98106369606387,0.1313652006536543,2.051034499572779e-05
37.30178415002723,49.98108378384724,0.13141033698912707,2.0087783369149292e-05
37.43323911433061,49.98110354887101,0.13145496430338,1.9765023772322365e-05
37.564738348511845,49.98112309183365,0.13149923418123421,1.95429626401733e-05
37.69628165411273,49.98114251441148,0.13154330560088567,1.9422577828720478e-05
37.827868998046824,49.98116191935232,0.13158734393409333,1.9404940836409423e-05
37.959500517886745,49.981181410572795,0.13163151983992094,1.9491220477618754e-05
38.09117652594086,49.98120109325008,0.1316760080541144,1.9682677283583416e-05
38.22289751201865,49.981221073898126,0.13172098607778793,1.9980648048090188e-05
38.35466414479004,49.981241460417806,0.1317666327713951,2.0386519679505e-05
38.48647727165285,49.98126236210959,0.13181312686280933,2.090169178359247e-05
38.618337917034715,49.981283889636856,0.13186064538186315,2.152752726658491e-05
38.75024727907225,49.98130615492723,0.13190936203753267,2.2265290375855784e-05
38.88220672463032,49.98132927099882,0.13195944555807415,2.3116071588447085e-05
39.014217782648714,49.9813533516978,0.1320110580183922,2.4080698977968495e-05
39.14628213583119,49.98137851133362,0.13206435318247856,2.5159635818283732e-05
39.27840161072267,49.981404864197884,0.1321194748914749,2.63528642676647e-05
39.410578166252066,49.98143252395325,0.1321765555293979,2.7659755367892558e-05
39.54281388085082,49.98146160287924,0.13223571459875672,2.907892599068873e-05
39.67511093828756,49.98149221096282,0.13229705743673748,3.0608083577021716e-05
39.80747161238692,49.981524454823266,0.1323606740993597,3.224386044564653e-05
39.93989825082337,49.98155843646308,0.1324266384364492,3.398163981671587e-05
40.0723932581976,49.98159425184005,0.13249500737423148,3.5815376968173496e-05
40.20495907861293,49.981631989259895,0.13256582041532994,3.773741984502976e-05
40.33759817797191,49.98167172759474,0.13263909935898255,3.973833484138822e-05
40.47031302620866,49.98171353433988,0.13271484823674484,4.180674514486782e-05
40.60310607966125,49.981757463530364,0.13279305345259473,4.392919048257227e-05
40.73597976377162,49.981803553549575,0.13287368411036482,4.609001921096478e-05
40.86893645627902,49.98185182487459,0.13295669250740616,4.827132501361575e-05
41.001978471048965,49.981902277816864,0.13304201476994137,5.045294227556951e-05
41.13510804265344,49.98195489033162,0.1331295716044778,5.261251475729978e-05
41.26832731179276,49.98200961598424,0.13321926913931748,5.4725652617548803e-05
41.40163831162414,49.98206638217559,0.13331099983138017,5.676619134931116e-05
41.53504295504007,49.98212508873943,0.13340464341592906,5.870656384132644e-05
41.66854302291974,49.98218560703164,0.13350006787967317,6.0518292208655566e-05
41.80214015336093,49.982247779631194,0.13359713044118848,6.217259955576537e-05
41.9358358318877,49.98231142076476,0.13369567852677022,6.364113356482903e-05
42.069631382621154,49.98237631754866,0.13379555073345273,6.489678390408926e-05
42.203527960396485,49.982442232113215,0.1338965777753316,6.591456455140587e-05
